id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1182475,Beyoğlunda Şirin Kullanışlı Stüdyo2,4174788,İlknur Bülent,,Beyoglu,41.03745889036108,28.974826303523184,Entire home/apt,91,1,164,2018-10-21,2.46,7,336
1184034,historical building with backyard,6476882,Tolga,,Kadikoy,40.996831318109315,29.02663034924057,Entire home/apt,246,2,32,2017-05-12,0.58,1,234
1184313,Üsküdar merkezde BAYAN ev arkadaşı,6477853,Raziye,,Uskudar,41.01958536843461,29.015398898658585,Private room,182,3,0,,,1,365
1184464,"VERY NICE, BIG ROOM..WITH BALCONY",4038834,Şeref,,Sisli,41.0577448434251,28.987075898886456,Private room,145,20,10,2018-09-19,0.15,4,362
1188225,Istanbul with seagulls,6494155,Yucel,,Besiktas,41.0470266573804,29.005439667369657,Entire home/apt,364,3,0,,,1,364
1190556,4room Big apt at city center near Sea,6507646,Ufuk,,Besiktas,41.05084455140775,29.0210608849829,Entire home/apt,300,3,19,2018-09-09,0.29,1,0
1192463,Affordable Spacious @Centre,466302,Fati,,Sisli,41.049700595807174,28.986405032362775,Private room,54,7,0,,,17,321
1193165,bosphorous room with a view,6249773,Aytul,,Sariyer,41.08785861112301,29.05159315575374,Private room,364,1,0,,,1,364
1196924,All Inc. Room in Moda,6536071,Cem,,Kadikoy,40.98447483118911,29.032552436755008,Private room,305,1,0,,,1,365
1197074,The Pashas House Istanbul VIP 6 B.R,6540040,Barbaros,,Fatih,41.00447236739083,28.968632280277383,Entire home/apt,3053,2,0,,,16,364
1197075,Romantic Authenticity in Old Town Istanbul 1.Floor,6540040,Barbaros,,Fatih,41.00416634847602,28.9683034975477,Entire home/apt,300,2,107,2018-11-11,1.62,16,351
1197686,Overlooking the Bosphorus,6550796,Panagiotis,,Uskudar,41.04324388315803,29.04548844869041,Entire home/apt,578,2,0,,,1,364
1199405,Cosy room close to Taksim     ,6552033,Oguz,,Eyup,41.08068577881452,28.946589071716897,Private room,155,1,0,,,1,365
1199741,Private Sea Room - Estanbul House,3970501,Erman,,Uskudar,41.00859395672749,29.012469544519295,Private room,204,3,0,,,3,365
1209099,Luxury-Comfortable-Private Room ,4980245,Necla,,Beyoglu,41.037516515937824,28.97735269110629,Entire home/apt,182,2,10,2018-11-04,0.19,4,334
1209129,being close to social life in Kadıköy in İstanbul,6601869,Burcu,,Kadikoy,40.98628514911121,29.02095251375751,Private room,91,5,0,,,1,364
1210440,Cozy home in Cihangir with terrace,6610467,Emirhan,,Kagithane,41.08177649950564,28.989377791164543,Private room,337,1,0,,,1,364
1210795,Central Deluxe Double Room,3249613,Arif,,Sisli,41.06243315214308,28.984572898317765,Private room,91,1,1,2014-04-21,0.02,2,364
1210932,Central Single Room ,3249613,Arif,,Sisli,41.062966017832046,28.984969356502894,Private room,59,1,2,2014-12-16,0.03,2,364
1211142,Historical Building in Taksim 214,1827414,Sena & Seran,,Beyoglu,41.02964852872317,28.989003060176774,Entire home/apt,418,2,1,2015-05-19,0.02,6,365
