id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15749417,2 persons Cosy Bedroom near Metro station,101782634,Panagiotis,,ΕΛΛΗΝΟΡΩΣΩΝ,37.99802750722111,23.772540485638174,Private room,30,4,0,,,1,362
15753337,Central cozy apartment & Rooftop - Acropolis view,101826576,Vincent,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97889675345957,23.723142394036298,Private room,23,1,130,2018-10-10,5.26,2,348
15754084,Cozy & Spacious Apt - Rooftop with Acropolis view,101826576,Vincent,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97785732704606,23.724244985420906,Entire home/apt,120,1,25,2018-10-28,1.03,2,348
15754721,Friedly apartment in center of Athens,101794867,Νικολαος,,ΚΟΛΩΝΟΣ,38.00196382161406,23.716898639965116,Entire home/apt,25,2,0,,,1,179
15754807,Άνετο διαμέρισμα 65τμ πολύ καλό..ανετο κ φωτεινο..,46689307,Αποστολος,,ΠΟΛΥΓΩΝΟ,37.99631639794827,23.75386387413152,Entire home/apt,26,2,5,2018-06-01,0.21,1,358
15761984,"YOUR ATHENS HOME, perfect location, Acropolis area",65242075,Dora,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9620013300561,23.727494369208614,Entire home/apt,70,4,2,2018-03-16,0.09,1,178
15762252,Apartement close to the city center of Athens,101917031,Stavros,,ΓΚΥΖΗ,37.99330538564947,23.75318961547009,Entire home/apt,30,345,1,2017-08-14,0.07,1,6
15765621,"Lavish,cozy and 3' min from metro!! Wifi!",88669650,Ilias & Maria,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99978422215098,23.725016991355485,Entire home/apt,19,1,94,2018-11-03,4.13,1,357
15767962,Private room in Athens,83653218,Athanasia,,ΠΕΤΡΑΛΩΝΑ,37.968518949881734,23.71167517492259,Private room,18,2,12,2018-05-19,0.50,1,355
15771158,☆ Downtown with Mount Lycabettus view ☆,94677463,Nikos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.987465881417464,23.740532977056905,Entire home/apt,21,2,64,2018-11-02,4.34,1,314
15778179,New classic central apartment,102048513,Konstantinos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9860961950138,23.738633970120645,Entire home/apt,32,3,3,2018-08-26,0.15,1,83
15779528,A / SWA1 Athens - Sleeping & Working Apartment 1,102058674,Γεώργιος Ηλία,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99536354167201,23.766308871175795,Entire home/apt,150,1,17,2018-10-31,0.79,1,232
15782406,room for travelers who need privacy,102082931,Παυλοσ,,ΑΜΠΕΛΟΚΗΠΟΙ,38.001282853257166,23.763102521553723,Private room,25,1,0,,,1,90
15793210,Let me Athens you!,90214587,Stelios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97615559384118,23.72650974992694,Entire home/apt,45,2,108,2018-11-06,7.04,3,268
15795367,Unique 3 story apartment in the heart of Plaka,47838540,Korina,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97252116491959,23.730938315215933,Entire home/apt,100,2,39,2018-09-17,1.60,3,178
15795902,Central apartment 3' minutes from metro!,31566972,Alexandra,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99026600860457,23.757921891494583,Entire home/apt,55,4,0,,,1,365
15798049,Monastiraki Neoclassical House w/Yard,748818,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.979302686686495,23.724750313795496,Entire home/apt,45,2,1,2017-05-02,0.05,79,340
15798089,Lux 2BR apartment in Art Deco Building in Kolonaki,77689099,Ilona,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.982779332079915,23.73668188900767,Entire home/apt,80,1,6,2018-09-29,0.25,2,364
15804228,BEST VIEW IN THE CENTER OF ATHENS,102268269,Kalliopi,,ΚΟΛΩΝΑΚΙ,37.97742906637574,23.746425249831542,Entire home/apt,80,2,5,2018-07-08,0.28,1,358
